Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
VEGO,Russian plant-based deli meat and cheese company.,Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Milk,Ground meat/seafood","Beef/veal,Turkey","Chickpea,Buckwheat,White bean",Europe,Russia,,Moscow,http://xn----8sbeegddbzuj6azcm1l.xn--80adxhks/,,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/mO6OfeiXqXLoksmPCleevw/JWKyXi5_zRqB1Ez2YNAK1svehVNdqKCu6aHKwc6Xh-mb_vCV6DEUy1FVNr3ZaGppaIoruR08_ezau9-QEHmcu1ZLR4BC24CjisAvoFJzH_NsgSA_iXQX4BGOu1YDF4IKeI8_OCXupGYqdEuMYd4hzA/M_fklLRbS31Him24Yicc6ffPfVEPPXkAiovysKh0COQ)
EAT Functional,"Hungarian producer of sprouted soybean, a high-quality complete protein, as a raw material for the food industry.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,,Soy,Europe,Hungary,,Budapest,https://eatfunctional.eu/,2012,,eatfunctional_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/UzIruvuotNCHdtEXmeTZTQ/KmA6LKRoqIL0WXKz09MNVqmDBpCCoCZOIItVTMwqNMEFZ--k_fUUa5nKgRDl9sRaDModFUsdkhDuMjm7dioey_XDRL6fJw06I8SMaBeI-ahJ4xL1rJlmvKRbfVWNpYjIk1ZcYoZqZYJUtQkwyGvLEqg8Kq05WP2_qeBp8bksODU/d9O8ZxOYPmUIzA9B5qSLa77d3gz14h2qjWN08MvcXSU)
Veganov,"Russian company producing plant-based protein products, such as sausage, minced meat, and kopchushki.",Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Cheese",Beef/veal,"Soy,Wheat",Europe,Russia,,St. Petersburg,https://veganov.com/,2015,,logo-en.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/qbUx53Fw7ISppA7oKa931A/eiLbZxscWLwQkWokcIlSzKTksByci_w--ulrL7UzEf46R90607ApeHPoluwrxIoLCypkbzGh3My0Jx5tDBQ4ydVtdX4RXnITF1tPlEhEaaRjMgzDufOGK2Fy1Mjkml7Yz73eI-OP4sRl3-SFlXHwTQ/gD9Er2g8caYDMxZLO8FLZ2FC2gYDj3QSQLgPvZnXAbA)
Friky,Russian company producing plant-based dairy alternatives.,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy,Other",,"Soy,Coconut",Europe,Russia,,Москва,http://frikymilk.ru/,2016,,download (2).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/-RZyuo6q8S3Qst6P-xBbJw/GjmOPbOy2mwZ1ZOflgL3zGe9nCOCUBI6xkNdcv-Q_8iX6WR_IUpAPqpQDEq2Ov_k74XvN1AWKbVBLtIL6tPnCVW8kK6AfH_b8b3ONsWsxIQT7wr3T5Qgka7FT0Zyj9kTLb57YbvKfJ5XcMOBuKZ3Qg/VelSgcAfKkgco8u8788P4WJmGUp1_aB7he_4ecrR5B8)
Mallakto,Russian vegan cooperative that produces soy products.,Plant-based,"Dairy,Other,Meat,Seafood,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other,Cheese,Eggs,Whole muscle meat/seafood","Chicken,Shellfish",Soy,Europe,Russia,,Moscow,https://mallakto.ru/,2016,,hcmp165792_645235.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/2Mq0N4KlY_ks15oFMpXCWQ/QyBMsUPO232khgAo9Fyevr7xTKFB1NVbJJXp0y3LpsCX8BoVwg9s6vBYgdbDoHqJGHxUSSBXbkJpDb7QAq0vuHKdVEaxAJrRhz2ko9DAEEMtWOUtBaYw29vGFQtrHM_Gdu9S8gL4fkJvNsfVG3hApvuEvQ8V1WDxcf4buCAc4KU/E2KushsZHc1iichH6RDIG4AzoAWawv7zon9hJVIunxE)
Delishu ,Bulgarian company that produces cultured cashew products (cheese analog).,"Plant-based,Traditional fermentation",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Europe,Bulgaria,,Kubratovo,http://delishu.com/,2013,,delishu-logo-transparent-EN-big.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/2CS_o2lKCs6KZqQwIWiZrQ/jdhJmLNZnY2UktK6RvZTcy_0U5QVRK-supcrAXke8EDcaJDlw4Q3Ab20PYG8NtdiuCLPxWA45OqbnZKyzI6lJQozMV5zukqHlGlxC6GMcpVI7t_tv3lCZD6ADJcxKAniZ5GouRhSaK14jiMI9gcvzR6ZWeRIz1JNTXvnZ-KnI0s/lt3xjZtH4FHXsygFKhGamKgcCin4bwzcg5Qz-BRHc_g)
Rawckers,"Produces raw, plant-based artisanal creams and yogurts.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Cheese",,Cashew,Europe,Romania,,Timisoara,https://rawckers.ro/,2018,"Stefan, Marisha",logo-rawckers.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/pGAshZwEhmdjEXXGVbvpng/O-bsUHpTEwNAMRvSAWCnm1mSiWdIYB0jQMCc5gPlO1ksNJ0EjKo005KMbannMG4vN-kHqKXAvDimGBqetMXvD518IQRUY9Nt-STQezarwu1UoKAPG-dPaoe8jzlkR_PJH6vvszKKRlKISSGE0IrkeA/KEfY3OpdqnCujgz4a-jnH8b4mU8adIL1OtfGVwUR5lU)
Veganact,Greek company that produces frozen plant-based meats and other foods.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken","Soy,Pea",Europe,Greece,Peristeri,St. Gonata,https://veganact.gr/?lang=en,1989,,logo_sysk_fin125.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/HJhzMGgOa73FTWjzS6-GLA/LZ9Id-FYkhTNstZb8HBnCk7TT1K1I6iM42TMsY6isSq4NWQGnSPFVN2_MT2p3HvQx4fYjuUazRsETGiSrhEs5WqfZTfHn8ajcRXUFh96x6iKJPwHjHjFFH0p9b0FM2rSI9gez2NQrSlXvGFtFcu-XA/QKs9SraMzY-k1zzXHDORO3fW51XfDRh31JSz3hcMUb0)
Evlogimeno,Plant-based cheese company based in Greece. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Coconut,Potato,Tapioca",Europe,Greece,Keffasia,Thessaloniki,https://www.evlogimeno.com/evlogimeno-en/,2008,,logo-evlogimeno-new-1.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/12-2p4vTaqMGZZ1vFhUrOw/8soXPK43vKUkcIh9eU5SVwEQl-l2Bm6SZcumVC9-CpzXO6RoPl5IJ0U7jVSLgi5H-dR4vVyJWUMlhb7Rwl7OFXCEhLrgdHhMkAKKX2rE8mi7XRjIGOAEjNLoNDgxZWOdNxS55qkLa5-MlH7TUaZALQ0dokRzEoA9VWr3rxyBdsM/iocASWrzFDijR9Xq-v9iDg9V2xmAXAHzbyc_qNGnWEc)
Aivia,"Produces vegan sausage, ham, salami in Romania. 
",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork","Soy,Potato,Mushrooms",Europe,Romania,Arad,Arad,https://aivia.ro/,2012,,logo-normal-1.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/7jK6wcsrOv9IIZhvlISFwA/p5uSXIu33KL3b3bYQAcg7tTvGSIpDsvWf1bV_i15oVCYyOycA-UvB_SY4lX75aXCP9j2Ee3Ez6X32dA8ysmjVndunjSnP7dglZ-M24RvAHMng9QHt00zWZbMv4jORLGY4PJE4XakjZICERBdnOgAMw/UtzHKPaXNWSCGNUNQiZrLy3q2q-kUeEeBz5QH5ICkVI)
Vegavita,Austrian company that produces plant-based meat and dairy products.,Plant-based,"Meat,Dairy,Other",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Milk,Other",Beef/veal,"Soy,Coconut,Chickpea",Europe,Austria,,Wiener Neudorf,https://vegavita.at/,2002,,logo-vegavita.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ODguBKL91I5T3bdKL0mrHw/KIaB44uBoavs4KypVBitd5-AJ1QiWL1dxn1qysfkQk-Jg588Pwt61eAgXTcF0VnZSfsPYV2OiEK7fLAzwHspHLj0o2v7yYqJFOjTgJwNkbjsF4faZq9rJjQyrCXaytAop8JdCR9n5bLpSd8F6dLJjQ/GTNRBL4WkVAoWc34Wwg6torxtqCz4eB0kvPzR730_b4)
Kaya Foods,Produces plant-based yogurt and plant-based meat in Bulgaria. ,Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Ground meat/seafood",Beef/veal,"Lentils,Soy,Mushrooms",Europe,Bulgaria,Zagora,Radnevo,https://www.kayafoods.eu/,2017,,400_5d920acfaf72c.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Y065oHaNi-IzW5UCS9nJvg/ZUV8gMNqR_o_BkIZ8UiLRsXv_HmKhSIiFJKYLzd_Fx0mfbtCTPebDASHnA_d7j4TCmqbLdJ5Abwj7avIXLnNpHMbxXnHD-P2LERekTuFJoSVejZAGgpz89Ud_EqlWZ8ifyIq52_Qr2pWe5y-TJtBbxTKOIuxx-iY_wegBFbi_5k/2RypsIYkqhS9KRFA-pq1JojfL16n0xnZEyjN1K3VCdI)
Kinoko-Tech,"Offers an alternative protein based on mycelium from edible mushrooms, legumes, and grains.",Biomass fermentation,"Meat,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Target molecule selection,Bioprocess design,End product formulation and manufacturing",Ground meat/seafood,"Beef/veal,Chicken",Mushrooms,Africa/Middle East,Israel,,Rehovot,https://kinoko-tech.com,2019,"Jasmin Ravid, Daria Feldman, Hadar Shohat ",kinoko.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/i7lyl2x_D0qt1XanrjhERg/7svNlVdvhLKvjHcj6SbYjDis17zpxtdEU_AZjI_Xllk7Bt1zVYGFpxedkc1n3NsKtCLIakgRUg7-y5m0qzad1AeoN6pCd5kmff8I23AidnPgz2dP0Ws8glIpzdW2GhehsTRXT-ekNiyjqSe3ZPB-Xw/fo3j-cybALnsyjBOQu_ZYj8y264JxmJG05inGK-nPec)
The Mediterranean Food Lab (MFL),"Uses raw materials of the Mediterranean Diet: grains, legumes, nuts, and seeds to drive fermentation.",Traditional fermentation,"Dairy,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Milk,Cheese",,Other,Africa/Middle East,Israel,,,https://www.med-food-lab.com/,2017,"BZ Goldberg, Omer Ben Gal, Yair Yosefi",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Zuaz191t3ooEZi1t8R7fCA/7UKRM20pyhQlD1U5jiF5rF7EnCcgj-kDin3p5WEFdPpkobgbX7qUV98L6KTUFNoXIIRCMh2Z_O9IqTb3Mrp7UH_btBh94_G_Ntm7GGmSFu9_3MZo4igA5yAtaSmBFTSdCBJjBwa_E2Lpni7k6NBnzQ/VNBFfR6ZT4nYzXbn4lhU7vQmNq_cyGiZGaYUjbxPqVY)
Imagindairy,Produces animal-free dairy products and uses AI technology with systems biology to increase the expression of milk proteins in microflora.,Precision fermentation,"Dairy,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Bioprocess design","Milk,Cheese",Other,Other,Africa/Middle East,Israel,,,https://imagindairy.com/about/,2020,"Eyal Afergan, Tamir Tuller",imagindairy logo.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/v5P-FHl3nglvZmZh_oxP4Q/CwSzZiVMdRbPhc4wrK2hDFS4W7dqNUsnhpKGfdsR9coeCRdk_vwFQsbgLa7Lo9B5ib8Feu-kcBDQqiUQjxPRdTeWq7q43Kqs--L2f3PI48-EK31gH0d5PqAnHJ60Hiu-rWVHUkVlqywWxkqUoyjh9g/p0z3Z50FayER5uKYelVJD20qL5nc1LJAtGFTqa-TGvw)
Chunk Foods,"Makes clean label, plant-based whole cut products. ","Traditional fermentation,Plant-based",Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,,,Africa/Middle East,Israel,,Tel Aviv,https://www.chunkfoods.com/home,2020,Amos Golan,chunk foods logo.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/pRAwuz5HpqMJ1B6D20MjQQ/lyMnxGVYhFVwqimdIT0a0Je9NNaV7poyGNqdKINx9RpnMvs6ahc6RuAFZzmqgEPcp2Kif9kxma5ImKlkN7RYCpzZ4cuSLa_kvKsGuSaU1FpsjvBHlEKCHNNvwwSCW7xBkhwvndDn2OQxrwOmrmkB7w/NyHt7VZKNk33L2M5F_6bNlah0dlIdG7rgiA_Q9mtsHY)
WonderMeat,"Produce plant-based meats such as burgers, sausages, ground meat and kebabs.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood",,,Africa/Middle East,Israel,,,https://www.wondermeat.com,2020,,logo-wonders.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/GmsBEZWyGNU_DGP9jDybKw/qlvtsQB9U_uxHVUtKZmzzL6oJOFyOjvqwrROESrdrT0YJF8Z7b3sOtQWzxK-XqEVnY9yNlwIRzYUbnqUn0mBigOHuZG4-mgirOdsUYxuaQE2Ng0FxvdulnOGWpFzelQD4HjD-L9otcLRRMebEAbseg/brE0l3U6LDGcoYWDKJRRqM97jxIDLxnww43YASkBqJI)
Redefine Meat,First company to develop a new additive manufacturing technology specifically for food printing.,Plant-based,"Meat,Food processing infrastructure and equipment",Specialized (focused on alternative proteins),"Scaffolding and structure,End product formulation and manufacturing",Whole muscle meat/seafood,Beef/veal,,Africa/Middle East,Israel,,,https://www.redefinemeat.com/,2018,"Adam Lahav, Eshchar Ben-Shitrit",redefineMeat.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/CLCNV-aRl7-8RBuO0E5AFg/-nFCzgpSv9DVQA6eIiqyJwD21rQA08tG3bZ2oZWiTfPwXSowQp3hpdwKpmAj7hBTiNja-AYymMaUxUuKFLe9ZmLl22JrACBF4cpyegaiqNiOm6vL57psx2kwW0SfVSqxeaJZRaqi0hIKOlB3v12JnQ/eADb-851ggX_DrvsX_YWX-xQx5A2HVga_WeHoEBUpxs)
CHKP Foods,U.S.-based company that develops and produces fermented plant-based milk products,Plant-based,"Dairy,Ingredients and inputs",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization","Milk,Cheese,Other dairy",,Chickpea,U.S. and Canada,Israel,,Tel Aviv,https://chkpfoods.com/about/,2019,"Noam Sharon, Noam Dekkers",planterra logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/7Pk5na9sA_8KY7gApG419w/h4dG_W0kPqbbf4M1zwbnyECvgqG3mZ7cxD7CIke1BzvqtCyZkHHhWylQojfPXzrIoeknW6dug3xolG7xQM5iLuB-TCRCqbSU1tQhQcjz5ZW0X2yTP7uzH6IE3yG4hOSY2t1rFZwetGCzO3_mGcef7Q/oieN_IvoNjmqYC_rPg-gzG2zYwW5aaSofMCMMDDyLaM)
Modern Meat ,Plant-based ground beef/burgers and plant-based crab cakes,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Shellfish",,U.S. and Canada,Canada,BC,Vancouver,https://www.themodernmeat.com/,2019,Tara Haddad,MEAT_0.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/21kmFuXZeBy3K2VWnefjmQ/rqgFgc5SEQ2lXdwQagadqz92gV1TA1_8_UA5uivkc4iN4zDt83UCWLuy783MkGxIx3oonzFd55RzfS_e15_NR-kLwqdexKku8isknBO64eFHrXJnmC6CXmbrRnTmC2cYppxFeCz5_WilPtwXeKj_AQ/TkenjZidqtUHgFh5QJHRX5LL8JnuJF-RRAzlSbSCaJ0)
Veggletto,Licensing out technology for functional egg replacement via fermentation,Plant-based,Eggs,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Target molecule selection",Eggs,,,Asia Pacific,Australia,NSW,,https://veggletto.com/,2017,"Deborah Lewis, David Lewis",Screen Shot 2020-12-08 at 10_58_03 AM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/XRlOdJ64jLKDE3iC0Yb01g/elDEmoWfLGHuOrVnN_3NSuL4m7_OpXYDR5HX9mwEfhpe32PAMAlZEK3wsw8aD7FrxOwW4jYCHQwyNJDnv6M7eFL6wfjHf0Kj03liqC0nWwB1Z8cRMr3Gc6ZXEdbLcU75G21t30fw7NvF9Ja7uu_3Ew9cP9zj8pv6PklORazGSv4/ZWZKQLfSRd3vczUW7R4zmY4WjPpw2j1cTmOYcTot4Fg)
WTH Foods,"WTH has taken the challenge of turning vegetables into something fit for meaty cravings. Our products are plant-based, sustainably made with local ingredients, and inspired by local flavors. We create favorite Filipino food that’s healthy and kind to all – our farmers, the animals, the planet, and especially you.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,,Asia Pacific,Philippines,,Manilla,https://www.wthfoods.ph/,2019,"Carlo Antonio Ng, Carissa Jane Lim, Stephen Michael Co",Screen Shot 2020-12-08 at 1_24_30 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/SJV_AOvW7FAYJcGvlWWDcg/ZoJa8glzBZf_byX-ZnZ6cwsZJH_PVZMY2bgdxGkokiCq_Wu3y46p0rn17ybGH70NqaL-8ccfW40LHJheLn5nRoZIkT9P54eYVaLJIpcnBLhEO92ajsXirZ1T7Mm46y1TxndvlNRgEKFP4wFfdj4Qc8sZyMEzhvP4wLdqjDNzJ-8/5pAyIDcizbwZrCgCyDa411HUwqsE3AMeruLz3q3nqcw)
Shandi Global,Singapore-based producer of plant-based chicken that has a complete amino acid profile and is more affordable than meat. ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Chicken,"Lentils,Beans",Asia Pacific,Singapore,,Singapore,https://shandiglobal.com/,2019,Reena Sharma,1665985985246.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/7at9VPeUvozJhIxc4tEn6g/3lA1Ohu6wYWkbLghPVSiR4TVqoIODG5BCZKgwrIwyvG79rOPjdfJ6NJvOarmmHeCUPwaBwVaTeg4VfZwTThRGpUEbtM4xXn1pEhXOdvV3ai2HTWQVi_REFnqWlLHqAOmmsAUGiUKyAi2p91Tfxidcg/M7RgEAGFgDNEDpOx5fMLKsT2KgNbEEKsj6-94xRzuZE)
La Vie,"Maker of plant-based bacon selling under the Grand Gousier brand and B2B (formerly 77Foods)
",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Pork,,Europe,France,,Paris,https://www.laviefoods.com/en/,2019,Nicolas Schweitzer,La Vie logo.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/rta-n7gfyreZ2xtNoMHPXA/mz4mYEzUL2rLKIQw_EMY_u5foPDd9tGZg901yW_s7wU5NoZ9EWAJ24d39_eeJ8Xf7oWKGT3hvZKl-KTFaSsnMtgjp7VpyQP8hO2m6Db3p5znegplp6gLNqc4qkWh3QPWM30Ag6wUCFQz1nd7ay5P_g/9EOl851pNDjKg3lsVXpRZx8Tqy7kbhHIX_onTX3tWwA)
WhiteBoard Foods,"Built on Spiderwort's Aerocell™ and Hydrocell™ technologies, our scaffolds are produced with GRAS components and provide the flexibility to meet the engineering demands of your cell-cultured and plant-based food products",Plant-based,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),Scaffolding and structure,Whole muscle meat/seafood,,Other,U.S. and Canada,Canada,Ottawa,,https://www.whiteboardfoods.com/,2020,Andrew Pelling,Screen Shot 2020-12-08 at 2_54_34 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/-JYkyIT5V9tgOZ9UTsWGgQ/o7JFK147t_-951umjpO6DIPJDjmPjQHkjU5h6hbK8DXC7KAXpR9uNxWQrTr4o1tuHezDDU9WUh_XMCZgZyNBFtTHdZ5qy91BaA1Ypw2pBuvAhiEjoRyqNPfF6vT0mT5VJCcn66DIDcnnPFWCIrQetztjASsDS16_ul4vUiQlplc/pXbGY0rdLEeIKsOlx8NQ9EwNf2Qp2a7GdNsgrgJ-n-E)
Xuerong Biotechnology,China-based company that produces Fungi-based meat and ingredients.,Biomass fermentation,"Meat,Ingredients and inputs",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Crop development,Ingredient optimization","Other meat/seafood,Ingredients",,Mushrooms,Asia Pacific,Mainland China,,Shanghai,https://xuerong.com/,1995,Yang Yongping (chairman),Screen Shot 2020-12-08 at 3_07_18 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/OYdXI8dI3ZCFdsy_3TTnIw/eFEEPWt8xsoZpb3N0dqX9Gdvuvbf0BfGDHWvFWJbHVX6DWtwvdMP2hAT_gpwakOcv8WgexqgaZAtV1_JnnLnb_vwIZ7VPhl79sBhWNTQDf5Uz3cus3LEqHXiDG7G7x7gd2kNbM0Y-aRcxrxASv0hgFItviVq0LkKdOKAHJPL4JI/lYphbGeseL1Kn39n1MQjE-fEcqHGPbt22-CqZzWu8RM)
Vesta Food Lab,"Venture-capital-backed food technology company based in China focusing on plant-based substitutes, mainly independently develop soy-based meat products.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Pork,,Asia Pacific,Mainland China,,Beijing,http://www.vestafoodlab.com/,2019,Zihan Xie,Screen Shot 2020-12-08 at 3_14_11 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/wQ2Zt1q1uixVa4sN8B2VjQ/-2DkSzk6maTNNIimV9qtvPE-y5ylN1QncZGWwkuD7zCu4p7Toynk_zSZZ3Y5BjV9NTHW4Ca4gp314OVlLnvEtZH4CVme994qLHEr2OGUMkRUzvUjVXz4893ENnNnz22ilXmyiJSniCPKNBJIdoyb_NSLVj9dBUYXXWTRW6ywIB0/UfnoT2PKF4Zhqg43TTOPtJNHaBaLkKOb1R-BqIzqyZw)
Zen Burger,"Produces nut-based burgers, balls and tacos. The company produces Gluten-Free, Soy-Free, Nut-plant based and organic burgers and tacos which are healthy alternatives to current fast foods.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,"Rice,Sunflower",U.S. and Canada,United States,California,Laguna Beach,http://www.zenburger.com/,2013,Carla Lee,zen-logo-simple-150-blk.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/GbNazxINsux_ow2JrhaICw/Q6keYLeQtxWqAO6nTPeyATPTR2d9Q84nu5jSBXOKu3wcoIYndphhh2OHH_VsuLuR4PKK05hEl1N2BDyMVdPR7MqCvWhIQ2R36c_tzxqrtKQTcnfgV9CUKJ8A1Kg_5Tl7_m8eQCD0Z8s7NIVpYYjQMMVUcgim-eOLOnlClp2o0Gg/p6tkV1Xa8UJkRiNdeHQC4HrSlqBpIOPKjfmTmT69Z60)
Kioene,Italian producer of plant-based meats.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal","Soy,Wheat,Mushrooms,Pumpkin,Pea,Beetroot ,Egg",Europe,Italy,,Villanova di Camposampiero,https://www.kioene.com/,1990,,logo-kioene.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/8gAzzsDZQMYYcQlAzxg1KQ/d3dDpoitCPrkUt1atHIMTnMuYzF0tR26PIycg2Mgj5jyN2mhtBnfwdCxoVDgGDGrS-cS_7QtCOghgeB2aq0Fm9p0Re9uThOyAclO6TCmJokYPBD68LhdhMUIGC3eTRhfNPEaxgp1Yy5tHgmpMBiWiQ/rWpi4s1vRnF_BsdOboE3r7MQY-GPkuzS0OjF8lt8n1Q)
Mediterranea bioveg,"Produces plant-based burgers, tofu, tempeh, and seitan",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken","Soy,Wheat",Europe,Italy,,Marostica ,https://mediterraneabio.it/,1993,,5c88e2b6ffe48e63b89b7c48.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/escW2oq9kLHMnaFlaa_FtA/TPpV2ocuEOSPPLfiz1Enod0lu-E-LR367oc2Cz4mwfcA1MbH2TYHlv0uTHLiTZ65X6f0wsfql500UBBYR35iREjUvJpkw-o7qVP5MyP7E7k2iyirUCH0rjtrzptWgxy9F1TjtyBmlw0KHj1IuC17PxjpHUXvKqFVfbmZIDgojdA/HNpxrM08Hg6RKLKq7S1ZbmJB3GNxy4BSwxqieU69k0M)
Muscolo di Grano,Produces plant-based meat,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood","Pork,Beef/veal,Chicken","Wheat,Lentils",Europe,Italy,,,https://www.muscolodigrano.com/index.php,2017,,logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/7w27y1rwG--cCwqGULk44g/MVu5AFQYJrC88xW8H-ydjbBB3f2NT-s4KlFVjR-8QP5qvG-IlVMRQaG4CLM448CnAKV9qBN-BBEMPwyLmZk7Iuk8pcmkPZSA5QU5Z69r622Y-ZYiGjE93cj9BJqP173jtry6llv-IG6_SK2Vw_ZfwQ/BnuIRxSeR4c-1FJrHOMCb490v55YZuSrrX9E9PQj3Rs)
ReginaVerde,"Italian maker of plant-based cold cuts, cheeses, and stews.",Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Cheese","Pork,Beef/veal","Oat,Soy,Wheat,Cashew,Hazelnut,Yeast",Europe,Italy,,Bassano del Grappa,https://www.reginaverde.com/,1985,,ReginaVerdeLogo .png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/kfBRfFFgd3b0KHI_AysGIQ/o1h2k4AIjHKKLhdItPf3okbkQb_msHWb9WB6hgq3ap1xVFgoDLqTKfKNq3pluYCKwOKuZPjwMF4jVh3enZcLJyplxZ1SINn2769u9XSM9JOIg2VEqeUmT3QRnMqSpWS68EhLkIUBRQqqTo1rBg8spA/uX3TrvN_J4mrBuBgJ3QrxZc8HJufAL8222GD6akCVy0)
FelsineoVeg ,"Italian producer of plant-based cold cuts, cubed meat, and burgers. ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Beef/veal,Pork,Chicken,Fish,Turkey","Chickpea,Wheat,Lupine,Beetroot ",Europe,Italy,,Zola Predosa,https://www.felsineoveg.com/chi-siamo/,2016,,logo (6).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/M36aZojX0gc_deTxMceiEg/ZRQiwHecHhuFexdwaveDYU3ufwANxrnNerlSS_pFyzPjmtMqkOhzhQ8Z2YJm0AwwjhJFCHxj_CJ7Snfstbk3Hnl0CFEqbtTBqzdP8qagIGUpdlpOq4F2d5UIpqsKQ-RIiHAhbZieRTbsWbE2krEh0Q/mW3M-h4xAjyuYmyDgnUUFYnKgrGsuPxn6TIFztuenz0)
